TRAIN_LOSS,TEST_HR_ALL,TEST_HR_UNSEEN
112.8384,0.7144,0.4800
112.6926,0.7144,0.4800
112.5471,0.7156,0.4800
112.4018,0.7156,0.4800
112.2568,0.7156,0.4800
112.1120,0.7156,0.4800
111.9676,0.7156,0.4800
111.8233,0.7156,0.4800
111.6794,0.7156,0.4800
111.5356,0.7156,0.4800
111.3920,0.7156,0.4800
111.2488,0.7156,0.4800
111.1057,0.7156,0.4800
110.9631,0.7156,0.4800
110.8204,0.7156,0.4800
110.6782,0.7156,0.4800
110.5362,0.7156,0.4800
110.3944,0.7156,0.4800
110.2527,0.7156,0.4800
110.1113,0.7156,0.4800
109.9702,0.7167,0.4800
109.8292,0.7167,0.4800
109.6886,0.7167,0.4800
109.5482,0.7167,0.4800
109.4080,0.7167,0.4800
109.2680,0.7167,0.4800
109.1282,0.7178,0.4800
108.9886,0.7178,0.4800
108.8495,0.7178,0.4800
108.7103,0.7178,0.4800
108.5715,0.7178,0.4800
108.4328,0.7178,0.4800
108.2945,0.7178,0.4800
108.1562,0.7178,0.4800
108.0183,0.7178,0.4800
107.8805,0.7178,0.4800
107.7431,0.7178,0.4800
107.6059,0.7178,0.4800
107.4688,0.7178,0.4800
107.3321,0.7178,0.4800
107.1954,0.7178,0.4800
107.0590,0.7178,0.4800
106.9229,0.7178,0.4800
106.7869,0.7189,0.4800
106.6511,0.7178,0.4800
106.5156,0.7178,0.4800
106.3803,0.7178,0.4800
106.2453,0.7178,0.4800
106.1105,0.7178,0.4800
105.9759,0.7178,0.4800
105.8416,0.7178,0.4800
105.7074,0.7189,0.4800
105.5735,0.7189,0.4800
105.4398,0.7189,0.4800
105.3063,0.7189,0.4800
105.1731,0.7189,0.4800
105.0400,0.7189,0.4800
104.9072,0.7200,0.4800
104.7746,0.7200,0.4800
104.6423,0.7200,0.4800
104.5103,0.7189,0.4700
104.3784,0.7189,0.4700
104.2467,0.7189,0.4700
104.1153,0.7200,0.4700
103.9841,0.7200,0.4700
103.8531,0.7200,0.4700
103.7224,0.7200,0.4700
103.5919,0.7189,0.4700
103.4616,0.7189,0.4700
103.3316,0.7189,0.4700
103.2018,0.7189,0.4700
103.0722,0.7200,0.4700
102.9429,0.7200,0.4700
102.8138,0.7200,0.4700
102.6851,0.7200,0.4700
102.5564,0.7200,0.4700
102.4281,0.7200,0.4700
102.2999,0.7200,0.4700
102.1721,0.7189,0.4700
102.0445,0.7211,0.4700
101.9171,0.7211,0.4700
101.7899,0.7211,0.4700
101.6631,0.7222,0.4700
101.5365,0.7222,0.4700
101.4100,0.7211,0.4700
101.2839,0.7211,0.4700
101.1581,0.7211,0.4700
101.0323,0.7200,0.4700
100.9070,0.7200,0.4700
100.7817,0.7200,0.4700
100.6570,0.7200,0.4700
100.5324,0.7200,0.4700
100.4079,0.7200,0.4700
100.2839,0.7200,0.4700
100.1600,0.7200,0.4700
